id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
62,62,gneE31_0,5.1,0,0,170,-gneE26_0,85.6,13.73,108,469.34,37.6,4,0,70.74,1,tripinfo_62 routing_62,DEFAULT_VEHTYPE,1,
121,120.8,-gneE6_0,5.1,0,-0.2,172.4,gneE53_0,85.6,13.17,51.6,574.92,0,0,0,6.71,1,tripinfo_121 routing_121,DEFAULT_VEHTYPE,0.96,
97,96.8,-gneE38_0,5.1,0,-0.2,173.2,gneE41_0,89.6,13.29,76.4,669.73,7.2,1,0,24.52,1,tripinfo_97 routing_97,DEFAULT_VEHTYPE,0.98,
59,58.8,gneE47_0,5.1,0,-0.2,174,-gneE26_0,85.6,14.24,115.2,769.34,33.2,2,0,58.84,1,tripinfo_59 routing_59,DEFAULT_VEHTYPE,1.04,
108,108,gneE9_0,5.1,0,0,175.6,gneE30_0,85.6,13.95,67.6,767.49,0,0,0,11.25,1,tripinfo_108 routing_108,DEFAULT_VEHTYPE,1.01,
161,161.6,gneE36_0,5.1,0,0.6,178.4,gneE37_0,89.6,12.09,16.8,184.5,0,0,0,5.19,0,tripinfo_161 routing_161,DEFAULT_VEHTYPE,1.16,
61,60.8,-gneE49_0,5.1,0,-0.2,182.4,gneE29_0,85.6,14.67,121.6,669.76,48.4,4,0,75.72,1,tripinfo_61 routing_61,DEFAULT_VEHTYPE,1.09,
83,82.8,gneE38_0,5.1,0,-0.2,183.2,-gneE9_0,89.6,5.55,100.4,685.42,21.6,2,0,44.01,1,tripinfo_83 routing_83,DEFAULT_VEHTYPE,0.91,
51,50.8,-gneE44_0,5.1,0,-0.2,183.6,gneE36_0,85.6,13.92,132.8,679.87,57.2,4,0,82.41,1,tripinfo_51 routing_51,DEFAULT_VEHTYPE,1.02,
98,98,gneE42_0,5.1,0,0,185.6,-gneE48_0,85.6,7.96,87.6,478.92,22.8,2,0,51.67,1,tripinfo_98 routing_98,DEFAULT_VEHTYPE,1.01,
100,100,gneE45_0,5.1,0,0,185.6,-gneE53_0,85.6,7.3,85.6,379.87,28.8,3,0,57.01,1,tripinfo_100 routing_100,DEFAULT_VEHTYPE,1.03,
119,118.8,gneE43_0,5.1,0,-0.2,185.6,gneE35_0,85.6,7.15,66.8,380.08,18.4,2,0,40.4,1,tripinfo_119 routing_119,DEFAULT_VEHTYPE,1.1,
168,168,-gneE33_0,5.1,0,0,186.8,-gneE34_0,85.6,13.07,18.8,175.13,0,0,0,4.87,0,tripinfo_168 routing_168,DEFAULT_VEHTYPE,0.97,
86,89.6,-gneE15_0,5.1,0,3.6,187.2,-gneE52_0,85.6,9.26,97.6,480.08,24.8,3,0,62.24,1,tripinfo_86 routing_86,DEFAULT_VEHTYPE,1.02,
110,110,-gneE29_0,5.1,0,0,187.2,gneE30_0,85.6,13.88,77.2,660.36,4.4,1,0,27.39,1,tripinfo_110 routing_110,DEFAULT_VEHTYPE,1.02,
55,54.8,-gneE47_0,5.1,0,-0.2,187.6,-gneE43_0,85.6,12.39,132.8,569.55,56.4,4,0,84.53,1,tripinfo_55 routing_55,DEFAULT_VEHTYPE,0.9,
92,92,-gneE33_0,6.6,0,0,187.6,-gneE47_0,85.6,13.38,95.6,678.58,19.2,2,0,45.45,1,tripinfo_92 routing_92,bus,1,
71,70.8,-gneE0_0,5.1,0,-0.2,188.4,gneE33_0,85.6,5.5,117.6,581.63,24.8,1,0,74.04,1,tripinfo_71 routing_71,DEFAULT_VEHTYPE,1,
84,84,gneE6_0,5.1,0,0,190,gneE5_0,85.6,14.04,106,364.39,58.4,2,0,78.58,1,tripinfo_84 routing_84,DEFAULT_VEHTYPE,1.04,
125,125.2,-gneE33_0,5.1,0,0.2,190,gneE14_0,85.6,14.86,64.8,474.71,8.8,2,0,30.92,1,tripinfo_125 routing_125,DEFAULT_VEHTYPE,1.07,
85,88.4,gneE34_0,5.1,0,3.4,190.4,-gneE34_0,85.6,13.89,102,564.18,34,2,0,59.02,1,tripinfo_85 routing_85,DEFAULT_VEHTYPE,1.02,
77,76.8,gneE13_0,5.1,0,-0.2,191.2,gneE46_0,85.6,15.47,114.4,469.34,41.6,4,0,81.68,1,tripinfo_77 routing_77,DEFAULT_VEHTYPE,1.12,
