id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
134,134,-gneE34_0,5.1,0,0,234.4,-gneE52_0,85.6,14.88,100.4,660.57,36.8,1,0,54.18,1,tripinfo_134 routing_134,DEFAULT_VEHTYPE,1.1,
54,54,-gneE30_0,5.1,0,0,235.2,gneE30_0,85.6,12.01,181.2,748.28,86,4,0,128.55,1,tripinfo_54 routing_54,DEFAULT_VEHTYPE,1.1,
90,90,-gneE4_0,5.1,0,0,235.2,gneE35_0,85.6,13.15,145.2,369.55,97.2,4,0,114.96,1,tripinfo_90 routing_90,DEFAULT_VEHTYPE,0.96,
170,170,gneE38_0,5.1,0,0,235.2,gneE51_0,85.6,13.13,65.2,373.55,24.4,1,0,34.74,1,tripinfo_170 routing_170,DEFAULT_VEHTYPE,0.96,
127,126.8,gneE9_0,5.1,0,-0.2,236,-gneE4_0,85.6,10.7,109.2,471.1,36.4,3,0,74.39,1,tripinfo_127 routing_127,DEFAULT_VEHTYPE,1.03,
105,104.8,gneE51_0,5.1,0,-0.2,237.2,gneE50_0,85.6,13.04,132.4,559.02,69.2,2,0,87.84,1,tripinfo_105 routing_105,DEFAULT_VEHTYPE,0.98,
188,188,gneE4_0,5.1,0,0,238,gneE5_0,85.6,11.31,50,180.5,24,1,0,36.51,0,tripinfo_188 routing_188,DEFAULT_VEHTYPE,0.98,
141,140.8,-gneE39_0,5.1,0,-0.2,238.4,gneE1_0,85.6,15.07,97.6,569.76,31.6,2,0,58.6,1,tripinfo_141 routing_141,DEFAULT_VEHTYPE,1.1,
154,154,gneE53_0,5.1,0,0,238.4,gneE50_0,85.6,15.32,84.4,659.02,19.2,1,0,43.1,1,tripinfo_154 routing_154,DEFAULT_VEHTYPE,1.23,
177,176.8,gneE37_0,5.1,0,-0.2,238.4,-gneE47_0,85.6,14.97,61.6,681,0,0,0,12.76,1,tripinfo_177 routing_177,DEFAULT_VEHTYPE,1.08,
144,144,gneE31_0,5.1,0,0,238.8,-gneE44_0,85.6,13.78,94.8,380.08,34,2,0,67.49,1,tripinfo_144 routing_144,DEFAULT_VEHTYPE,1.06,
135,134.8,-gneE4_0,5.1,0,-0.2,241.6,gneE49_0,85.6,12.54,106.8,369.55,48.8,3,0,75.85,1,tripinfo_135 routing_135,DEFAULT_VEHTYPE,0.92,
165,164.8,-gneE5_0,5.1,0,-0.2,241.6,-gneE31_0,85.6,7.63,76.8,280.5,42.4,1,0,58.94,1,tripinfo_165 routing_165,DEFAULT_VEHTYPE,1.14,
182,182,-gneE35_0,5.1,0,0,241.6,gneE13_0,85.6,6.81,59.6,280.29,18,2,0,38.48,1,tripinfo_182 routing_182,DEFAULT_VEHTYPE,0.99,
181,180.8,gneE41_0,5.1,0,-0.2,242.8,-gneE32_0,85.6,9.82,62,581.63,0,0,0,21.72,1,tripinfo_181 routing_181,DEFAULT_VEHTYPE,1.08,
146,146,gneE43_0,5.1,0,0,244.4,gneE6_0,85.6,14.13,98.4,574.92,44.4,1,0,56.66,1,tripinfo_146 routing_146,DEFAULT_VEHTYPE,1.03,
129,128.8,-gneE38_0,5.1,0,-0.2,245.2,-gneE9_0,89.6,12.82,116.4,772.23,40.4,1,0,55.43,1,tripinfo_129 routing_129,DEFAULT_VEHTYPE,0.96,
187,186.8,gneE40_0,5.1,0,-0.2,246,gneE13_0,85.6,10.59,59.2,580.08,0,0,0,17.05,1,tripinfo_187 routing_187,DEFAULT_VEHTYPE,1.03,
179,182,gneE40_0,5.1,0,3,246.4,-gneE48_0,85.6,15.56,64.4,474.71,14,1,0,32.6,1,tripinfo_179 routing_179,DEFAULT_VEHTYPE,1.14,
175,174.8,gneE14_0,5.1,0,-0.2,249.6,-gneE5_0,85.6,15.13,74.8,374.71,29.2,1,0,48.42,1,tripinfo_175 routing_175,DEFAULT_VEHTYPE,1.12,
185,186.8,-gneE33_0,5.1,0,1.8,249.6,gneE13_0,85.6,12.34,62.8,280.5,25.2,1,0,40.65,1,tripinfo_185 routing_185,DEFAULT_VEHTYPE,0.91,
166,166,gneE46_0,5.1,0,0,252,-gneE34_0,85.6,11.9,86,569.55,19.6,1,0,37.18,1,tripinfo_166 routing_166,DEFAULT_VEHTYPE,0.89,
199,199.2,-gneE35_0,5.1,0,0.2,252,-gneE14_0,85.6,14.45,52.8,374.92,0.8,1,0,25.99,1,tripinfo_199 routing_199,DEFAULT_VEHTYPE,1.06,
126,126,gneE50_0,5.1,0,0,255.2,-gneE41_0,89.6,13.6,129.2,471.1,75.6,2,0,93.71,1,tripinfo_126 routing_126,DEFAULT_VEHTYPE,1.01,
157,159.2,-gneE14_0,5.1,0,2.2,255.2,gneE0_0,89.6,13.89,96,655.2,26.8,1,0,45.82,1,tripinfo_157 routing_157,DEFAULT_VEHTYPE,1.02,
191,191.2,gneE37_0,5.1,0,0.2,256.8,gneE44_0,85.6,12.02,65.6,682.97,0,0,0,8.3,1,tripinfo_191 routing_191,DEFAULT_VEHTYPE,0.9,
66,66,-gneE35_0,5.1,0,0,258.4,-gneE36_0,85.6,11.8,192.4,669.34,91.6,8,0,132.3,1,tripinfo_66 routing_66,DEFAULT_VEHTYPE,0.85,
150,150,gneE30_0,5.1,0,0,260,-gneE36_0,85.6,14.28,110,569.55,43.2,2,0,68.06,1,tripinfo_150 routing_150,DEFAULT_VEHTYPE,1.03,
118,118,-gneE39_0,5.1,0,0,261.2,gneE29_0,85.6,15.4,143.2,764.39,60.4,2,0,92.05,1,tripinfo_118 routing_118,DEFAULT_VEHTYPE,1.12,
184,184,gneE48_0,5.1,0,0,266.4,gneE43_0,85.6,14.42,82.4,480.08,15.2,1,0,48.14,1,tripinfo_184 routing_184,DEFAULT_VEHTYPE,1.05,
183,182.8,-gneE12_0,5.1,0,-0.2,266.8,gneE38_0,89.6,15.49,84,481.63,30.8,1,0,51.94,1,tripinfo_183 routing_183,DEFAULT_VEHTYPE,1.13,
238,238.8,-gneE13_0,5.1,0,0.8,272.8,gneE27_0,89.6,14.81,34,378.92,0,0,0,7.07,1,tripinfo_238 routing_238,DEFAULT_VEHTYPE,1.07,
145,145.2,gneE6_0,5.1,0,0.2,273.2,-gneE3_0,85.6,5.32,128,469.34,56.4,4,0,96.11,1,tripinfo_145 routing_145,DEFAULT_VEHTYPE,1.15,
192,192,gneE47_0,5.1,0,0,273.2,gneE50_0,85.6,5.39,81.2,464.39,20.4,2,0,41.29,1,tripinfo_192 routing_192,DEFAULT_VEHTYPE,0.89,
